name,value,date
Coca-Cola,72537,2000/1/1
Microsoft,70196,2000/1/1
IBM,53183,2000/1/1
Intel,39048,2000/1/1
Nokia,38528,2000/1/1
GE,38127,2000/1/1
Ford,36368,2000/1/1
Disney,33553,2000/1/1
McDonald's,27859,2000/1/1
AT&T,25548,2000/1/1
Marlboro,22110,2000/1/1
Mercedes-Benz,21104,2000/1/1
HP,20572,2000/1/1
Cisco,20067,2000/1/1
Toyota,18823,2000/1/1
Citi,18809,2000/1/1
Gillette,17358,2000/1/1
Sony,16409,2000/1/1
American Express,16122,2000/1/1
Honda,15244,2000/1/1
Compaq,14602,2000/1/1
NESCAFÉ,13680,2000/1/1
BMW,12969,2000/1/1
Kodak,11822,2000/1/1
Heinz,11742,2000/1/1
Budweiser,10684,2000/1/1
Xerox,9699,2000/1/1
Dell,9476,2000/1/1
Gap,9316,2000/1/1
Nike,8015,2000/1/1
Volkswagen,7834,2000/1/1
Ericsson,7805,2000/1/1
Kellogg's,7357,2000/1/1
Louis Vuitton,6887,2000/1/1
Pepsi,6636,2000/1/1
Apple,6594,2000/1/1
MTV,6411,2000/1/1
Yahoo!,6299,2000/1/1
SAP,6135,2000/1/1
IKEA,6031,2000/1/1
Duracell,5885,2000/1/1
Philips,5481,2000/1/1
Samsung,5223,2000/1/1
Gucci,5149,2000/1/1
Kleenex,5144,2000/1/1
Reuters,4876,2000/1/1
AOL,4531,2000/1/1
Amazon,4528,2000/1/1
Motorola,4445,2000/1/1
Colgate,4417,2000/1/1
Wrigley,4324,2000/1/1
Chanel,4141,2000/1/1
adidas,3791,2000/1/1
Panasonic,3734,2000/1/1
Rolex,3561,2000/1/1
Hertz,3438,2000/1/1
Bacardi,3187,2000/1/1
BP,3066,2000/1/1
Moët & Chandon,2799,2000/1/1
Shell,2786,2000/1/1
Burger King,2701,2000/1/1
Smirnoff,2443,2000/1/1
Barbie,2315,2000/1/1
Heineken,2218,2000/1/1
Wall Street Journal,2184,2000/1/1
Ralph Lauren,1834,2000/1/1
Johnnie Walker,1541,2000/1/1
Hilton,1483,2000/1/1
Jack Daniel's,1480,2000/1/1
Armani,1456,2000/1/1
Pampers,1400,2000/1/1
Starbucks,1329,2000/1/1
Guinness,1224,2000/1/1
Financial Times,1148,2000/1/1
Benetton,1008,2000/1/1
Coca-Cola,68945,2001/1/1
Microsoft,65068,2001/1/1
IBM,52752,2001/1/1
GE,42396,2001/1/1
Nokia,35035,2001/1/1
Intel,34665,2001/1/1
Disney,32591,2001/1/1
Ford,30092,2001/1/1
McDonald's,25289,2001/1/1
AT&T,22828,2001/1/1
Marlboro,22053,2001/1/1
Mercedes-Benz,21728,2001/1/1
Citi,19005,2001/1/1
Toyota,18578,2001/1/1
HP,17983,2001/1/1
Cisco,17209,2001/1/1
American Express,16919,2001/1/1
Gillette,15298,2001/1/1
Merrill Lynch,15015,2001/1/1
Sony,15005,2001/1/1
Honda,14638,2001/1/1
BMW,13858,2001/1/1
NESCAFÉ,13250,2001/1/1
Compaq,12354,2001/1/1
Oracle,12224,2001/1/1
Budweiser,10838,2001/1/1
Kodak,10801,2001/1/1
"Merck & Co., Inc.",9672,2001/1/1
Nintendo,9460,2001/1/1
Pfizer,8951,2001/1/1
Gap,8746,2001/1/1
Dell,8269,2001/1/1
Goldman Sachs,7862,2001/1/1
Nike,7589,2001/1/1
Volkswagen,7338,2001/1/1
Ericsson,7069,2001/1/1
Heinz,7062,2001/1/1
Louis Vuitton,7053,2001/1/1
Kellogg's,7005,2001/1/1
MTV,6599,2001/1/1
Canon,6580,2001/1/1
Samsung,6374,2001/1/1
SAP,6307,2001/1/1
Pepsi,6214,2001/1/1
Xerox,6019,2001/1/1
IKEA,6005,2001/1/1
Pizza Hut,5978,2001/1/1
Harley-Davidson,5532,2001/1/1
Apple,5464,2001/1/1
Gucci,5363,2001/1/1
KFC,5261,2001/1/1
Reuters,5236,2001/1/1
Sun Microsystems,5149,2001/1/1
Kleenex,5085,2001/1/1
Philips,4900,2001/1/1
Colgate,4572,2001/1/1
Wrigley,4530,2001/1/1
AOL,4495,2001/1/1
Yahoo!,4378,2001/1/1
Avon,4369,2001/1/1
Chanel,4265,2001/1/1
Duracell,4140,2001/1/1
Boeing,4060,2001/1/1
Texas Instruments,4041,2001/1/1
Kraft,4032,2001/1/1
Motorola,3761,2001/1/1
Levi's,3747,2001/1/1
Time,3724,2001/1/1
Rolex,3701,2001/1/1
adidas,3650,2001/1/1
Hertz,3617,2001/1/1
Panasonic,3490,2001/1/1
Tiffany & Co.,3483,2001/1/1
BP,3247,2001/1/1
Bacardi,3204,2001/1/1
Amazon,3130,2001/1/1
Shell,2844,2001/1/1
Smirnoff,2594,2001/1/1
Moët & Chandon,2470,2001/1/1
Burger King,2426,2001/1/1
Mobil,2415,2001/1/1
Heineken,2266,2001/1/1
Wall Street Journal,2184,2001/1/1
Barbie,2037,2001/1/1
Ralph Lauren,1910,2001/1/1
FedEx,1885,2001/1/1
Nivea,1782,2001/1/1
Starbucks,1757,2001/1/1
Johnnie Walker,1649,2001/1/1
Jack Daniel's,1583,2001/1/1
Armani,1490,2001/1/1
Pampers,1410,2001/1/1
Absolut,1378,2001/1/1
Guinness,1357,2001/1/1
Financial Times,1310,2001/1/1
Hilton,1235,2001/1/1
Carlsberg,1075,2001/1/1
Siemens,1029,2001/1/1
Swatch,1004,2001/1/1
Benetton,1002,2001/1/1
Coca-Cola,69637,2002/1/1
Microsoft,64091,2002/1/1
IBM,51188,2002/1/1
GE,41311,2002/1/1
Intel,30861,2002/1/1
Nokia,29970,2002/1/1
Disney,29256,2002/1/1
McDonald's,26375,2002/1/1
Marlboro,24151,2002/1/1
Mercedes-Benz,21010,2002/1/1
Ford,20403,2002/1/1
Toyota,19448,2002/1/1
Citi,18066,2002/1/1
HP,16776,2002/1/1
American Express,16287,2002/1/1
Cisco,16222,2002/1/1
AT&T,16059,2002/1/1
Honda,15064,2002/1/1
Gillette,14959,2002/1/1
BMW,14425,2002/1/1
Sony,13899,2002/1/1
NESCAFÉ,12843,2002/1/1
Oracle,11510,2002/1/1
Budweiser,11349,2002/1/1
Merrill Lynch,11230,2002/1/1
Morgan Stanley,11205,2002/1/1
Compaq,9803,2002/1/1
Pfizer,9770,2002/1/1
J.P. Morgan,9693,2002/1/1
Kodak,9671,2002/1/1
Dell,9237,2002/1/1
Nintendo,9219,2002/1/1
"Merck & Co., Inc.",9138,2002/1/1
Samsung,8310,2002/1/1
Nike,7724,2002/1/1
Gap,7406,2002/1/1
Heinz,7347,2002/1/1
Volkswagen,7209,2002/1/1
Goldman Sachs,7194,2002/1/1
Kellogg's,7191,2002/1/1
Louis Vuitton,7054,2002/1/1
SAP,6775,2002/1/1
Canon,6721,2002/1/1
IKEA,6545,2002/1/1
Pepsi,6394,2002/1/1
Harley-Davidson,6266,2002/1/1
MTV,6078,2002/1/1
Pizza Hut,6046,2002/1/1
KFC,5346,2002/1/1
Apple,5316,2002/1/1
Xerox,5308,2002/1/1
Gucci,5304,2002/1/1
Accenture,5182,2002/1/1
L'Oréal,5079,2002/1/1
Kleenex,5039,2002/1/1
Sun Microsystems,4773,2002/1/1
Wrigley,4747,2002/1/1
Reuters,4611,2002/1/1
Colgate,4602,2002/1/1
Philips,4561,2002/1/1
Nestlé,4430,2002/1/1
Avon,4399,2002/1/1
AOL,4326,2002/1/1
Chanel,4272,2002/1/1
Kraft,4079,2002/1/1
Danone,4054,2002/1/1
Yahoo!,3855,2002/1/1
adidas,3690,2002/1/1
Rolex,3686,2002/1/1
Time,3682,2002/1/1
Ericsson,3589,2002/1/1
Tiffany & Co.,3482,2002/1/1
Levi's,3454,2002/1/1
Motorola,3416,2002/1/1
Duracell,3409,2002/1/1
BP,3390,2002/1/1
Hertz,3362,2002/1/1
Bacardi,3341,2002/1/1
Caterpillar,3218,2002/1/1
Amazon,3175,2002/1/1
Panasonic,3141,2002/1/1
Boeing,2973,2002/1/1
Shell,2810,2002/1/1
Smirnoff,2723,2002/1/1
Johnson & Johnson,2509,2002/1/1
Prada,2489,2002/1/1
Moët & Chandon,2445,2002/1/1
Heineken,2396,2002/1/1
Mobil,2358,2002/1/1
Burger King,2163,2002/1/1
Nivea,2059,2002/1/1
Wall Street Journal,1961,2002/1/1
Starbucks,1961,2002/1/1
Barbie,1937,2002/1/1
Ralph Lauren,1928,2002/1/1
FedEx,1919,2002/1/1
Johnnie Walker,1654,2002/1/1
Jack Daniel's,1580,2002/1/1
3M,1579,2002/1/1
Armani,1509,2002/1/1
Coca-Cola,70453,2003/1/1
Microsoft,65174,2003/1/1
IBM,51767,2003/1/1
GE,42340,2003/1/1
Intel,31112,2003/1/1
Nokia,29440,2003/1/1
Disney,28036,2003/1/1
McDonald's,24699,2003/1/1
Marlboro,22183,2003/1/1
Mercedes-Benz,21371,2003/1/1
Toyota,20784,2003/1/1
HP,19860,2003/1/1
Citi,18571,2003/1/1
Ford,17066,2003/1/1
American Express,16833,2003/1/1
Gillette,15978,2003/1/1
Cisco,15789,2003/1/1
Honda,15625,2003/1/1
BMW,15106,2003/1/1
Sony,13153,2003/1/1
NESCAFÉ,12336,2003/1/1
Budweiser,11894,2003/1/1
Pepsi,11777,2003/1/1
Oracle,11263,2003/1/1
Samsung,10846,2003/1/1
Morgan Stanley,10691,2003/1/1
Merrill Lynch,10521,2003/1/1
Pfizer,10455,2003/1/1
Dell,10367,2003/1/1
"Merck & Co., Inc.",9407,2003/1/1
J.P. Morgan,9120,2003/1/1
Nintendo,8190,2003/1/1
Nike,8167,2003/1/1
Kodak,7826,2003/1/1
SAP,7714,2003/1/1
Gap,7688,2003/1/1
HSBC,7565,2003/1/1
Kellogg's,7438,2003/1/1
Canon,7192,2003/1/1
Heinz,7097,2003/1/1
Goldman Sachs,7039,2003/1/1
Volkswagen,6938,2003/1/1
IKEA,6918,2003/1/1
Harley-Davidson,6775,2003/1/1
Louis Vuitton,6708,2003/1/1
MTV,6278,2003/1/1
L'Oréal,5600,2003/1/1
Xerox,5578,2003/1/1
KFC,5576,2003/1/1
Apple,5554,2003/1/1
Pizza Hut,5312,2003/1/1
Accenture,5301,2003/1/1
Gucci,5100,2003/1/1
Kleenex,5057,2003/1/1
Wrigley,5057,2003/1/1
Colgate,4686,2003/1/1
Avon,4631,2003/1/1
Sun Microsystems,4465,2003/1/1
Philips,4464,2003/1/1
Nestlé,4460,2003/1/1
Chanel,4315,2003/1/1
Danone,4237,2003/1/1
Kraft,4171,2003/1/1
AOL,3961,2003/1/1
Yahoo!,3895,2003/1/1
Time,3784,2003/1/1
adidas,3679,2003/1/1
Rolex,3673,2003/1/1
BP,3582,2003/1/1
Tiffany & Co.,3540,2003/1/1
Duracell,3438,2003/1/1
Bacardi,3431,2003/1/1
Hermès,3416,2003/1/1
Amazon,3403,2003/1/1
Caterpillar,3363,2003/1/1
Reuters,3300,2003/1/1
Levi's,3298,2003/1/1
Hertz,3288,2003/1/1
Panasonic,3257,2003/1/1
Ericsson,3153,2003/1/1
Motorola,3103,2003/1/1
Hennessy,2996,2003/1/1
Shell,2983,2003/1/1
Boeing,2864,2003/1/1
Smirnoff,2806,2003/1/1
Johnson & Johnson,2706,2003/1/1
Prada,2535,2003/1/1
Moët & Chandon,2524,2003/1/1
Nissan,2495,2003/1/1
Heineken,2431,2003/1/1
Mobil,2407,2003/1/1
Nivea,2221,2003/1/1
Starbucks,2136,2003/1/1
Burger King,2121,2003/1/1
Ralph Lauren,2048,2003/1/1
FedEx,2032,2003/1/1
Barbie,1873,2003/1/1
Wall Street Journal,1763,2003/1/1
Johnnie Walker,1724,2003/1/1
Jack Daniel's,1612,2003/1/1
Coca-Cola,67394,2004/1/1
Microsoft,61372,2004/1/1
IBM,53791,2004/1/1
GE,44111,2004/1/1
Intel,33499,2004/1/1
Disney,27113,2004/1/1
McDonald's,25001,2004/1/1
Nokia,24041,2004/1/1
Toyota,22673,2004/1/1
Marlboro,22128,2004/1/1
Mercedes-Benz,21331,2004/1/1
HP,20978,2004/1/1
Citi,19971,2004/1/1
American Express,17683,2004/1/1
Gillette,16723,2004/1/1
Cisco,15948,2004/1/1
BMW,15886,2004/1/1
Honda,14874,2004/1/1
Ford,14475,2004/1/1
Sony,12759,2004/1/1
Samsung,12553,2004/1/1
Pepsi,12066,2004/1/1
NESCAFÉ,11892,2004/1/1
Budweiser,11846,2004/1/1
Dell,11500,2004/1/1
Merrill Lynch,11499,2004/1/1
Morgan Stanley,11498,2004/1/1
Oracle,10935,2004/1/1
Pfizer,10635,2004/1/1
J.P. Morgan,9782,2004/1/1
Nike,9260,2004/1/1
"Merck & Co., Inc.",8811,2004/1/1
HSBC,8671,2004/1/1
SAP,8323,2004/1/1
Canon,8055,2004/1/1
Kellogg's,8029,2004/1/1
Goldman Sachs,7954,2004/1/1
Gap,7873,2004/1/1
Siemens,7470,2004/1/1
IKEA,7182,2004/1/1
Harley-Davidson,7057,2004/1/1
Heinz,7026,2004/1/1
Apple,6871,2004/1/1
Louis Vuitton,6602,2004/1/1
UBS,6526,2004/1/1
Nintendo,6479,2004/1/1
MTV,6456,2004/1/1
Volkswagen,6410,2004/1/1
L'Oréal,5902,2004/1/1
Accenture,5772,2004/1/1
Xerox,5696,2004/1/1
Wrigley,5424,2004/1/1
Kodak,5231,2004/1/1
KFC,5118,2004/1/1
Pizza Hut,5050,2004/1/1
Colgate,4929,2004/1/1
Kleenex,4881,2004/1/1
Avon,4849,2004/1/1
Gucci,4715,2004/1/1
eBay,4700,2004/1/1
Yahoo!,4545,2004/1/1
Nestlé,4529,2004/1/1
Danone,4488,2004/1/1
Chanel,4416,2004/1/1
Philips,4378,2004/1/1
Amazon,4156,2004/1/1
Kraft,4112,2004/1/1
Caterpillar,3801,2004/1/1
adidas,3740,2004/1/1
Rolex,3720,2004/1/1
Reuters,3691,2004/1/1
BP,3662,2004/1/1
Time,3651,2004/1/1
Porsche,3646,2004/1/1
Tiffany & Co.,3638,2004/1/1
Motorola,3483,2004/1/1
Panasonic,3480,2004/1/1
